subject,language,word,cons,vot,cog,sd,skew,kurt,cm,mint
albaMart,Spanish,tactil,ta,10.2433333333333,785.733333333333,502.47,3.22666666666667,30.2733333333333,407204253.206667,74.9475666666667
elenaFer,Spanish,tactil,ta,14.26,695.066666666667,959.423333333333,4.74666666666667,39.13,5011624065.56667,71.7323
lauraRay,Spanish,tactil,ta,12.7833333333333,724.196666666667,761.413333333333,5.81666666666667,60.49,3548208424.49333,68.8593
marinaGo,Spanish,tactil,ta,10.9166666666667,509.78,427.323333333333,10.4,250.36,847086535.893333,70.8516
martaLav,Spanish,tactil,ta,8.85,679.593333333333,503.81,6.02,77.9533333333333,1008811935.59667,74.7757333333333
tamaraMo,Spanish,tactil,ta,11.7766666666667,723.503333333333,495.206666666667,4.11,42.82,497683687.466667,71.1017666666667
ainaGomi,Spanish,tamano,ta,12.5966666666667,609.966666666667,548.04,6.95333333333333,92.2933333333333,1179578854.6,73.1898666666667
albaMart,Spanish,tamano,ta,10.1533333333333,797.77,476.956666666667,3.57333333333333,37.57,409831935.903333,74.4752333333333
elenaFer,Spanish,tamano,ta,12.5433333333333,566.326666666667,655.616666666667,7.38666666666667,86.3,2119093688.6,71.8221
lauraRay,Spanish,tamano,ta,15.72,1228.34333333333,1837.76666666667,3.26,13.4133333333333,19452475085.8433,61.9499333333333
marinaGo,Spanish,tamano,ta,15.5433333333333,830.753333333333,1353.98333333333,4.77,35.62,11830021054.3233,66.3094666666667
martaLav,Spanish,tamano,ta,11.0566666666667,683.063333333333,736.953333333333,4.95333333333333,52.36,2672255923.42333,71.9948
tamaraMo,Spanish,tamano,ta,14.1066666666667,674.256666666667,836.803333333333,6.07666666666667,56.3633333333333,4426701773.05333,67.9372666666667
ainaGomi,Spanish,tambien,ta,10.61,608.363333333333,409.363333333333,6.47,106.106666666667,487120533.28,73.8547
albaMart,Spanish,tambien,ta,11.2966666666667,810.423333333333,688.626666666667,3.72,29.0666666666667,2690336371.61667,74.828
elenaFer,Spanish,tambien,ta,14.6666666666667,1165.94,1461.68666666667,4.67333333333333,45.0066666666667,11554964332.47,69.5893666666667
lauraRay,Spanish,tambien,ta,15.7566666666667,1115.31333333333,1639.30333333333,3.92666666666667,21.86,19087546659.0733,62.7066
marinaGo,Spanish,tambien,ta,14.0333333333333,468.63,894.673333333333,6.8,68.7833333333333,5047665532.02,67.0782666666667
martaLav,Spanish,tambien,ta,8.28666666666667,695.886666666667,411.863333333333,5.18,78.8433333333333,411908514.893333,74.7770333333333
tamaraMo,Spanish,tambien,ta,11.9933333333333,671.523333333333,571.416666666667,5.54666666666667,65.14,1073030481.2,67.9240666666667
hollyHig,English,tambourine,ta,60.3966666666667,2592.71666666667,2067.17333333333,0.82,1.06,7579159782.87,57.4738
jessicaN,English,tambourine,ta,47.77,4271.31333333333,1831.53,0.776666666666667,4.37666666666667,3848940455.30667,60.7449666666667
katieMar,English,tambourine,ta,76.07,3330.70333333333,1777.27666666667,0.89,5.40666666666667,8407989176.55667,57.0609333333333
lisetteC,English,tambourine,ta,119.653333333333,3380.10666666667,1340.98666666667,4.11666666666667,141.633333333333,-792782604.29,57.5999333333333
mariahFr,English,tambourine,ta,88.0533333333333,5560.87333333333,1355.49666666667,-0.113333333333333,4.08,-524749013.403333,69.4728333333333
meganHor,English,tambourine,ta,77.8733333333333,3330.25,1314.86,0.39,9.46666666666667,1515579654.50667,64.3922333333333
vanessaV,English,tambourine,ta,108.356666666667,5549.85333333333,2460.08333333333,-0.12,0.24,-1625342450.37333,57.0614666666667
ainaGomi,Spanish,tampoco,ta,11.9366666666667,566.74,450.643333333333,7.66666666666667,131.353333333333,755430664.77,72.6602666666667
albaMart,Spanish,tampoco,ta,11.82,689.516666666667,687.59,4.49666666666667,43.85,2374888901.10667,73.1370333333333
elenaFer,Spanish,tampoco,ta,19.76,1586.63333333333,1712.72333333333,3.93333333333333,35.2933333333333,13006290751.1133,66.1883666666667
lauraRay,Spanish,tampoco,ta,23.4933333333333,2826.40666666667,2650.38333333333,1.59,3.33666666666667,20320910535.39,56.3497666666667
marinaGo,Spanish,tampoco,ta,11.0066666666667,579.476666666667,425.78,7.58,156.816666666667,574947857.946667,69.7465
