group,id,item,language,misc,f1_start,f2_start,f1_cent,f2_cent,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P02,casete,spanish,5,257.65,757.31,420.47,771.97,14.27,9.6,1527.53,870.95,2.44,15.2,NA,1,k,voiceless,unstressed
bi_aldrich,P02,panza,spanish,5,349.45,608.95,454.03,712.91,8.32,3.59,139.76,159.44,14.11,683.56,NA,1,p,voiceless,stressed
bi_aldrich,P02,tapamos,spanish,5,372.17,710.83,405.26,686.45,13.85,8.51,578.97,1243.52,4.33,21.05,NA,1,t,voiceless,unstressed
bi_aldrich,P02,pasado,spanish,5,348.81,627.94,373.12,679.38,12.36,7.83,139.49,374.27,14.29,299.63,NA,1,p,voiceless,unstressed
bi_aldrich,P02,también,spanish,5,323.27,774.61,402.45,651.77,9.36,4.76,349.24,896.31,7.48,60.74,NA,1,t,voiceless,unstressed
bi_aldrich,P02,patria,spanish,5,409.63,632.03,473.58,728.91,9.08,5.12,374.95,540.06,11.71,164.56,NA,1,p,voiceless,stressed
bi_aldrich,P09,tangential,english,5,431.28,962.33,367.12,893.2,53.98,5.24,395.22,1336.11,5.49,31,NA,1,t,voiceless,unstressed
bi_aldrich,P09,caption,english,5,591.59,850.43,497.06,752.49,94.34,10.69,1383.7,2088.88,2.31,5.19,NA,1,k,voiceless,stressed
bi_aldrich,P09,taffy,english,5,576.41,833.94,579.22,778.81,72.75,1.19,602.65,1542.3,4.29,19.37,NA,1,t,voiceless,stressed
bi_aldrich,P09,casket,english,5,567.55,850.68,536.59,773.74,76.02,11.15,3280.6,1812.77,1.53,2.83,NA,1,k,voiceless,stressed
bi_aldrich,P09,canopy,english,5,294.92,982.16,307.26,895.29,85.69,16.03,2837.59,2231.12,0.81,0.5,NA,1,k,voiceless,stressed
bi_aldrich,P09,tandem,english,5,275.45,952.96,366.89,886.06,106.37,10.55,905.35,1638.18,2.43,6.35,NA,1,t,voiceless,stressed
bi_aldrich,P09,tactility,english,5,493.94,813.41,343.05,805.51,76.42,-0.74,1343.13,2400.12,1.63,1.13,NA,1,t,voiceless,unstressed
bi_aldrich,P09,cavalier,english,5,642.94,844.37,529.21,773.7,91.11,14.67,1351.89,2163.83,2.23,5.13,NA,1,k,voiceless,unstressed
bi_aldrich,P09,passable,english,5,589.92,800.28,558.21,772.27,89.62,2.09,144.66,355.27,17.69,395.58,NA,1,p,voiceless,stressed
bi_aldrich,P09,tabloid,english,5,571.93,837.61,551.21,761.98,107.97,4.52,2368.65,3327.79,1.26,0.13,NA,1,t,voiceless,stressed
bi_aldrich,P09,pageant,english,5,602.06,810.89,552.96,793.08,86.56,-3.96,92.33,307.51,24.33,681.62,NA,1,p,voiceless,stressed
bi_aldrich,P09,canteen,english,5,337.12,962.3,375.21,896.57,91.18,20,2757.69,1569.09,1.25,3.8,NA,1,k,voiceless,unstressed
bi_aldrich,P09,tamper,english,5,376.57,954.12,316.23,842.4,87.63,6.82,596.68,1617.19,4,16.35,NA,1,t,voiceless,stressed
bi_aldrich,P09,tackle,english,5,568.79,812.98,559.24,739.46,107.69,3.03,968.46,2120.85,2.84,7.58,NA,1,t,voiceless,stressed
bi_aldrich,P09,captive,english,5,534.6,894.36,572.44,718.78,79.74,15.22,3263.67,3869.88,0.88,-0.81,NA,1,k,voiceless,stressed
bi_aldrich,P09,pompeii,english,5,228.33,623.64,239.3,628.37,76.29,10.89,330.35,630.12,7.87,87.82,NA,1,p,voiceless,unstressed
bi_aldrich,P09,tactician,english,5,515.25,843.39,489.54,779.58,58.9,3.43,2302.82,3336.33,1.02,-0.68,NA,1,t,voiceless,unstressed
bi_aldrich,P09,tangent,english,5,430.94,974.14,430.92,903.62,98.9,9.16,1731.31,2668.58,1.39,0.48,NA,1,t,voiceless,stressed
bi_aldrich,P09,taxation,english,5,558.02,768.41,495.62,823.34,78.95,1.97,581.28,1602.69,4.07,17.05,NA,1,t,voiceless,unstressed
bi_aldrich,P09,paprika,english,5,555.46,814.96,469.97,754.08,64.89,-3.08,143.96,369.63,15.38,330.93,NA,1,p,voiceless,unstressed
bi_aldrich,P09,cockade,english,5,559.52,774.01,391.67,701.81,79.67,9.73,78.82,223.71,34.88,1578.06,NA,1,k,voiceless,unstressed
bi_aldrich,P09,tacky,english,5,563.64,847.47,542.69,806.37,91.43,0.8,1207.44,2254.9,2.36,4.81,NA,1,t,voiceless,stressed
bi_aldrich,P09,patty,english,5,575.39,797.15,571.82,769.4,76.99,-6.45,225.01,314.38,16.4,389.38,NA,1,p,voiceless,stressed
bi_aldrich,P09,caffeine,english,5,540.83,840.37,546.64,807.56,92.23,19.86,2258.32,1743.5,0.71,1.73,NA,1,k,voiceless,unstressed
bi_aldrich,P09,tomfoolery,english,5,310.89,650.58,340.63,621.39,94.34,8.17,1504.39,2567.72,1.9,2.75,NA,1,t,voiceless,unstressed
bi_aldrich,P09,cashier,english,5,270.86,904.82,274.03,911.46,53.25,15.7,2006.42,1704.75,1.94,5.75,NA,1,k,voiceless,unstressed
bi_aldrich,P09,paddle,english,5,667.28,692.75,555.61,785.01,111.03,-2.69,194.47,477.96,12.22,197.97,NA,1,p,voiceless,stressed
bi_aldrich,P09,pomposity,english,5,255.92,607.4,239.28,633.99,62.67,9.5,525.47,1161.16,5.11,33.11,NA,1,p,voiceless,unstressed
bi_aldrich,P09,kathleen,english,5,573.56,863.93,484.29,797.95,72.87,10,2803.19,1195.43,1.6,10.91,NA,1,k,voiceless,unstressed
bi_aldrich,P09,captivity,english,5,520.59,883.77,457.3,760.72,68.74,12.87,2159.79,2157.36,1.59,2.84,NA,1,k,voiceless,unstressed
bi_aldrich,P09,cabbage,english,5,627.94,852.37,520.72,744.08,121.7,13.71,2553.56,2613.07,1.53,1.6,NA,1,k,voiceless,stressed
bi_aldrich,P09,castrate,english,5,593.67,820.01,533.19,773.49,89.58,9.88,2491.48,2017.1,1.44,2.79,NA,1,k,voiceless,stressed
bi_aldrich,P09,tattoo,english,5,566.47,823.92,487.99,813.62,91.01,6.34,927.76,2040.47,2.76,6.81,NA,1,t,voiceless,unstressed
