group,id,item,language,misc,f1_start,f2_start,f1_mp,f2_mp,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P12,paddle,english,5,609.68,814.37,590.25,790.23,74.73,3.25,197.91,199.41,7.45,193.19,NA,1,p,voiceless,stressed
bi_aldrich,P12,paco,spanish,5,378.34,593.68,539.03,726.88,8.67,9.49,104.95,179.77,16.19,627.09,NA,1,p,voiceless,stressed
bi_aldrich,P12,pata,spanish,5,358.41,607.64,527.31,748.94,8.41,9.84,148.06,149.39,15.76,749.12,NA,1,p,voiceless,stressed
bi_aldrich,P12,paño,spanish,5,346.73,601.62,494.48,755.34,7.8,8.01,120.82,167.63,10.12,364.1,NA,1,p,voiceless,stressed
bi_aldrich,P12,patente,spanish,5,351.8,622.44,496.86,758.5,7.94,10.04,124.91,193.52,20.4,825.64,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pastoso,spanish,5,361.53,617.66,483.07,755.8,8.82,8.77,109.21,158.65,25.08,1232.09,NA,1,p,voiceless,unstressed
bi_aldrich,P12,paja,spanish,5,371.33,614.18,534.11,738.98,8.11,9.88,191.14,239.07,3.75,72.48,NA,1,p,voiceless,stressed
bi_aldrich,P12,pagado,spanish,5,390.89,616.76,509.84,740.91,15.23,10.5,96.9,137.57,20.92,1019.32,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pantera,spanish,5,367.93,603.79,506.85,766.32,7.89,3.88,123.21,150.81,22.4,1225.2,NA,1,p,voiceless,unstressed
bi_aldrich,P12,patria,spanish,5,392.76,599.79,539.89,769.76,15.25,13.49,156.79,209.24,13.04,420.5,NA,1,p,voiceless,stressed
bi_aldrich,P12,pacto,spanish,5,403.28,596.01,537.21,738.62,11.76,8.58,132.23,192.33,12.25,425.32,NA,1,p,voiceless,stressed
bi_aldrich,P12,pavor,spanish,5,381.04,596.52,511.89,653.95,8.03,8.02,134.72,156.25,13.18,554.73,NA,1,p,voiceless,unstressed
bi_aldrich,P12,paso,spanish,5,389.46,604.71,537.99,740.2,8.54,8.74,153.09,182.98,13.34,441.17,NA,1,p,voiceless,stressed
bi_aldrich,P12,pasión,spanish,5,379.14,611.43,491.21,756.96,8.54,5.85,124.99,157.53,16.36,719,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pandilla,spanish,5,383.62,601.6,517.94,760.06,8.71,7.47,156.38,240.73,13.71,364.77,NA,1,p,voiceless,unstressed
bi_aldrich,P12,patriota,spanish,5,384.93,604.39,475.3,763.94,14.72,9.49,99.24,212.68,18.05,582.15,NA,1,p,voiceless,unstressed
bi_aldrich,P12,panza,spanish,5,380.33,603.98,555.17,750.71,12.56,10.75,110.27,158.88,19.76,926.4,NA,1,p,voiceless,stressed
bi_aldrich,P12,papel,spanish,5,398.92,614.7,475.31,659.58,14.83,10.7,123.93,172.32,16.96,684.36,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pasado,spanish,5,414.53,631.35,491.68,759.51,16.12,10.17,133.2,223.52,10.73,318.29,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pasillo,spanish,5,403.4,641.64,511.77,773.56,13.81,9.85,162.14,227.92,13.39,447.78,NA,1,p,voiceless,unstressed
bi_aldrich,P16,padlock,english,5,564.47,802.28,515.54,788.19,58.05,8.21,248.61,320.86,13.46,290.18,NA,1,p,voiceless,stressed
bi_aldrich,P16,posterity,english,5,292.25,615.61,400.46,558.19,64.29,13.02,436.14,519.8,7.32,95.21,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pageant,english,5,538.21,867.75,501.69,838.53,40.19,10.23,904.38,1308.46,3.77,17.55,NA,1,p,voiceless,stressed
bi_aldrich,P16,pander,english,5,556.57,824.3,370.28,640.1,73.44,8.62,583.77,833.8,5.97,46.81,NA,1,p,voiceless,stressed
bi_aldrich,P16,pancake,english,5,606.17,725.54,519.77,733.78,42.3,14.01,417.2,941.12,5,32.69,NA,1,p,voiceless,stressed
bi_aldrich,P16,paprika,english,5,530.32,831.4,511.46,778.83,56.51,13.92,360.06,927.29,6.29,46.83,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pontoon,english,5,550.46,875.84,430.62,606.75,72.08,15.72,169.74,693.5,10.45,124.24,NA,1,p,voiceless,unstressed
bi_aldrich,P16,patty,english,5,576.52,844.8,519.13,844.61,60.43,15.97,199.66,678.42,10.37,123.18,NA,1,p,voiceless,stressed
bi_aldrich,P16,pangaea,english,5,559.68,863.89,455.1,826.17,44.73,11.71,326.4,654.07,6.74,62.46,NA,1,p,voiceless,unstressed
bi_aldrich,P16,passable,english,5,398.36,812.39,518.86,793.98,64.58,13.84,697.35,1686.61,3.44,11.53,NA,1,p,voiceless,stressed
bi_aldrich,P16,passion,english,5,564.46,863.11,537.5,824.95,31.85,10.41,199.88,574.16,9.8,120.93,NA,1,p,voiceless,stressed
bi_aldrich,P16,paddle,english,5,513.96,823.96,530.68,778.36,56.78,18.52,239.56,743.82,8.36,79.72,NA,1,p,voiceless,stressed
bi_aldrich,P16,pandora,english,5,167.76,805.73,456.46,822.22,52.8,15.9,195.53,414.3,9.33,140.31,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pomposity,english,5,337.5,621.93,374.78,605.43,83.59,9.43,416.35,596.22,7.25,85.76,NA,1,p,voiceless,unstressed
bi_aldrich,P16,package,english,5,560.24,828.78,514.14,833.45,69.22,16.43,608.37,1442.03,3.81,15.97,NA,1,p,voiceless,stressed
bi_aldrich,P16,pacify,english,5,532.37,779.24,511.27,780.97,56.58,9.85,201.22,483.95,13.1,207.3,NA,1,p,voiceless,stressed
bi_aldrich,P16,pompeii,english,5,349.76,544.94,398.43,464.85,73.05,12.62,534.4,1144.8,4.22,22.83,NA,1,p,voiceless,unstressed
bi_aldrich,P16,passivity,english,5,500.23,796.69,508.51,794.82,64.52,13.06,250.14,446.24,8.97,118.56,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pontific,english,5,413.63,612.26,426.8,695.84,66.32,12.35,708.72,1780.57,3.81,14.1,NA,1,p,voiceless,unstressed
bi_aldrich,P16,paño,spanish,5,374.19,611.59,500.29,765.79,11.38,10.69,980.89,1394.51,3.29,12.13,NA,1,p,voiceless,stressed
bi_aldrich,P16,patriota,spanish,5,357.05,538.01,455.41,761.9,11.12,12.62,454.11,976.74,6.21,44.04,NA,1,p,voiceless,unstressed
bi_aldrich,P16,patria,spanish,5,373.63,630.64,482.94,757.29,12.5,16.07,142.22,481.43,12.97,210.28,NA,1,p,voiceless,stressed
bi_aldrich,P16,pasillo,spanish,5,387.7,673.56,432.77,776.81,9.55,10.02,218.12,460.66,14.1,248.49,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pastoso,spanish,5,378.45,739.18,473.1,670.89,11.93,15.05,1035.29,1757.72,2.37,5.47,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pavor,spanish,5,385.9,633.35,444.5,630.93,9.49,8.89,822.87,1185.93,4.14,20.36,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pasión,spanish,5,352.34,738.25,454.77,742.65,8.21,11.23,155.12,306.14,12.99,305.44,NA,1,p,voiceless,unstressed
bi_aldrich,P16,patente,spanish,5,401.82,649.79,443.93,777.04,9.83,8.87,393.48,753.7,7.36,63.26,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pagado,spanish,5,393.49,646.08,430.33,701.53,13.7,13.9,1039.04,1155.64,3.51,16.74,NA,1,p,voiceless,unstressed
bi_aldrich,P16,paso,spanish,5,432.76,680.82,512.53,733.64,8.79,8.72,694.25,1277.27,4.34,22.28,NA,1,p,voiceless,stressed
bi_aldrich,P16,pandilla,spanish,5,425.81,679.06,467.36,768.14,9.86,6.69,774.73,1560.47,3.74,16.12,NA,1,p,voiceless,unstressed
bi_aldrich,P16,papel,spanish,5,388.05,657.05,458.61,739.73,8.71,10.22,973.83,1660.24,2.98,9.23,NA,1,p,voiceless,unstressed
bi_aldrich,P16,paco,spanish,5,414.84,640.1,500.91,718.88,13.24,7.22,406.93,707.12,6.52,67.82,NA,1,p,voiceless,stressed
bi_aldrich,P16,paja,spanish,5,423.62,635.95,513.1,708.3,8.96,8.23,308.31,527.99,8.22,99.26,NA,1,p,voiceless,stressed
bi_aldrich,P16,pantera,spanish,5,350.15,635.26,467.48,756.86,14.77,15.59,339.43,825.34,7.03,53.59,NA,1,p,voiceless,unstressed
bi_aldrich,P16,pata,spanish,5,344.72,590.39,508.12,745.23,11.7,13.18,232.22,639.08,9.76,118.29,NA,1,p,voiceless,stressed
bi_aldrich,P16,pasado,spanish,5,339.25,604.48,406.91,713.39,9.42,9.01,293.4,382.52,12.01,251.63,NA,1,p,voiceless,unstressed
bi_aldrich,P16,panza,spanish,5,378.09,599.94,510.52,727.38,8.53,6.29,274.43,280.11,19.09,524.09,NA,1,p,voiceless,stressed
bi_aldrich,P16,pacto,spanish,5,412.48,632.78,511.68,700.1,8.7,3.76,266.61,344.02,12.12,237.97,NA,1,p,voiceless,stressed
bi_aldrich,P28,pandora,english,5,263.92,898.17,498.06,831.47,35.92,8.42,129,192.61,18.02,636.74,NA,1,p,voiceless,unstressed
bi_aldrich,P28,paprika,english,5,431.13,874.06,510.51,815.35,31.3,10.18,180.34,393.15,10.44,178.71,NA,1,p,voiceless,unstressed
bi_aldrich,P28,pangaea,english,5,261.51,914.77,500.54,861.83,25.76,10.07,378.86,955.49,7.76,63.71,NA,1,p,voiceless,unstressed
bi_aldrich,P28,padlock,english,5,527.19,865.43,549.4,767.96,48.3,12.05,256.74,439,5.98,76.86,NA,1,p,voiceless,stressed
bi_aldrich,P28,pontific,english,5,668.38,937.75,521.85,731.63,36.12,10.49,598.29,1181.6,4.99,27.85,NA,1,p,voiceless,unstressed
bi_aldrich,P28,package,english,5,618.19,844.2,514.08,783.64,70.51,6.34,245.97,293.83,4.97,70.49,NA,1,p,voiceless,stressed
bi_aldrich,P28,paddle,english,5,603.16,792.07,564.63,729.38,67.54,10.27,131.68,293.95,15.32,334.8,NA,1,p,voiceless,stressed
bi_aldrich,P28,pomposity,english,5,552.18,729.93,530.61,683.79,29.72,7.94,101.5,278.88,23.59,706.91,NA,1,p,voiceless,unstressed
bi_aldrich,P28,passion,english,5,559.7,860.03,546.01,785.26,71.08,6.65,378.67,773.56,6.43,56,NA,1,p,voiceless,stressed
bi_aldrich,P28,pacify,english,5,556.66,858.21,528.69,797.47,43.66,7.78,168.06,252.75,15.25,419.25,NA,1,p,voiceless,stressed
bi_aldrich,P28,pandemic,english,5,435.52,897.84,516.52,889.36,28.02,6.49,129.09,213.11,27,1067.96,NA,1,p,voiceless,unstressed
bi_aldrich,P28,pageant,english,5,538.25,888.23,536.81,788.46,42.48,7.35,139.81,218.12,19.84,700.36,NA,1,p,voiceless,stressed
bi_aldrich,P28,pontoon,english,5,209.89,730.28,496.51,745.54,42.98,7.1,111.41,207.91,19.35,635.38,NA,1,p,voiceless,unstressed
bi_aldrich,P28,passable,english,5,588.4,876.62,552.9,750.58,74.21,7.79,263.74,431.57,10.72,162.54,NA,1,p,voiceless,stressed
bi_aldrich,P28,passivity,english,5,375.09,855.07,470.34,870.93,24.2,5.7,395.25,738.08,6.21,49.05,NA,1,p,voiceless,unstressed
bi_aldrich,P28,patty,english,5,557.67,868.86,547.8,848.71,63.83,8.36,176.62,305.59,10.06,234.15,NA,1,p,voiceless,stressed
bi_aldrich,P28,posterity,english,5,582.69,682,457.27,634.59,40.81,9.1,100.72,214.33,18.83,538.43,NA,1,p,voiceless,unstressed
bi_aldrich,P28,pompeii,english,5,601.32,701.45,521.52,676.19,34.65,4.25,125.17,421.75,17.3,342.87,NA,1,p,voiceless,unstressed
