
12-0250-English-Spanish-t-d
11/24/2012	19:35:13

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group		Experiment	Experiment, 68	Stimulus (68, danesa2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 75	Stimulus (75, dannar3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 149	Stimulus (149, lighthouse2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 197	Stimulus (197, shot2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 128	Stimulus (128, four2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 269	Stimulus (269, tattoing2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 1	Stimulus (1, abuela1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 109	Stimulus (109, fat1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 174	Stimulus (174, nevera3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 35	Stimulus (35, dagger2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 4	Stimulus (4, alfombra1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 286	Stimulus (286, zapato1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 218	Stimulus (218, tabloid2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 272	Stimulus (272, tattoo2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 113	Stimulus (113, felino2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 247	Stimulus (247, tambourine1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 91	Stimulus (91, dapper1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 221	Stimulus (221, taboo2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 209	Stimulus (209, tabard2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 104	Stimulus (104, estufa2.wav)				SPANISH	NR	0					
